Timestamp,PM10,PM2.5,CO,NO2,SO2,O3
1704042000,87.39,70.58,1468.66,21.42,6.97,0.3
1704045600,85.55,70.38,1375.2,15.59,4.53,0.12
1704049200,77.89,65.52,1214.98,9.94,2.12,0.36
1704052800,63.27,54.75,1054.76,7.37,1.33,0.65
1704056400,52.2,46.25,947.95,6.25,1.16,0.73
1704060000,47.24,41.81,907.9,6.0,1.27,0.59
1704063600,48.3,41.54,921.25,6.25,1.71,0.35
1704067200,56.83,45.99,1108.17,7.37,3.64,0.2
1704070800,68.45,53.31,1482.01,9.94,6.38,0.29
1704074400,70.54,54.0,1668.93,13.37,6.26,0.57
1704078000,55.13,42.2,1375.2,17.65,4.59,4.11
1704081600,33.31,25.91,947.95,14.05,3.31,15.91
1704085200,35.1,26.59,1041.41,15.59,3.93,12.16
1704088800,37.32,28.0,1161.58,18.16,4.83,8.4
1704092400,33.44,24.71,1148.22,18.51,5.01,7.51
1704096000,25.89,18.84,1001.36,15.42,3.93,8.49
1704099600,16.76,12.03,774.38,11.82,2.89,11.62
1704103200,17.47,12.16,854.49,13.37,3.49,5.36
1704106800,27.22,18.6,1174.93,12.85,4.89,0.24
1704110400,37.29,24.83,1308.44,11.65,5.84,0.03
1704114000,53.96,35.56,1495.36,11.65,8.11,0.0
1704117600,65.79,44.13,1588.82,10.8,8.94,0.0
1704121200,68.57,47.15,1535.42,9.6,8.82,0.0
1704124800,64.78,45.22,1401.9,7.88,7.57,0.0
1704128400,56.52,40.45,1241.68,5.83,5.01,0.0
1704132000,52.51,37.73,1121.52,4.41,3.13,0.0
1704135600,46.56,34.1,961.3,3.86,1.94,0.0
1704139200,43.35,32.64,881.2,3.77,1.62,0.0
1704142800,44.29,34.04,867.84,4.07,1.73,0.0
1704146400,48.0,37.17,907.9,4.71,2.18,0.0
1704150000,52.75,40.99,988.01,5.57,3.01,0.0
1704153600,64.0,50.37,1268.39,7.03,5.78,0.14
1704157200,80.76,63.29,1815.8,10.02,9.54,0.25
1704160800,86.01,66.68,2056.12,12.68,8.7,0.45
1704164400,70.28,53.74,1735.69,17.31,5.9,1.7
1704168000,28.26,21.15,881.2,15.08,3.31,14.13
1704171600,25.66,18.44,867.84,14.05,3.64,14.13
1704175200,28.33,20.41,988.01,17.48,4.77,12.16
1704178800,27.05,19.35,1014.71,17.99,4.89,14.48
1704182400,21.88,15.63,894.55,15.08,3.87,17.88
1704186000,14.91,10.76,727.65,11.65,3.07,23.6
1704189600,18.43,13.11,907.9,19.36,5.07,15.38
1704193200,32.49,22.8,1375.2,31.19,9.54,2.3
1704196800,45.58,31.47,1588.82,29.47,11.8,0.12
1704200400,62.06,43.4,1842.5,28.45,14.07,0.02
1704204000,77.34,54.95,2029.42,28.1,15.5,0.0
1704207600,88.98,63.8,2082.82,24.68,14.66,0.0
1704211200,89.7,65.46,1922.61,16.79,9.54,0.0
1704214800,78.38,59.5,1682.28,12.0,5.01,0.0
1704218400,65.98,53.51,1441.96,10.02,2.8,0.02
1704222000,45.45,39.39,1054.76,10.02,1.43,0.72
1704225600,32.23,28.71,807.76,7.63,1.0,3.22
1704229200,23.88,21.44,660.9,5.65,0.87,6.35
1704232800,20.26,17.69,587.46,5.1,0.95,7.15
1704236400,21.78,18.05,607.49,6.0,1.27,5.28
1704240000,30.27,23.22,781.06,9.0,2.62,2.28
1704243600,43.73,31.74,1121.52,11.82,4.77,2.12
1704247200,50.8,36.13,1295.09,15.59,5.19,4.56
1704250800,49.76,34.97,1228.33,17.48,4.53,13.77
1704254400,14.52,10.45,587.46,6.08,2.0,25.75
1704258000,10.62,7.68,527.38,5.31,1.85,23.6
1704261600,10.4,7.66,534.06,6.08,2.03,21.46
1704265200,12.81,9.58,600.81,7.63,2.26,18.42
1704268800,17.51,13.26,707.63,10.02,2.74,15.38
1704272400,21.78,16.83,814.44,13.02,3.28,13.23
1704276000,31.25,24.14,1134.87,21.93,5.9,5.72
1704279600,44.4,33.69,1562.12,28.1,10.49,0.44
1704283200,56.86,42.42,1842.5,27.42,13.71,0.01
1704286800,74.38,56.68,2189.64,27.76,17.4,0.0
1704290400,83.66,65.02,2243.04,24.68,18.36,0.0
1704294000,75.75,58.05,1869.2,16.96,13.47,0.0
1704297600,58.62,44.52,1441.96,9.85,6.68,0.01
1704301200,49.73,37.38,1241.68,7.45,4.53,0.01
1704304800,50.23,38.82,1228.33,6.94,3.99,0.0
1704308400,52.06,41.58,1214.98,6.17,3.28,0.0
1704312000,51.37,42.16,1174.93,4.88,2.32,0.0
1704315600,49.65,42.55,1134.87,4.2,1.7,0.0
1704319200,46.08,40.73,1081.47,4.67,1.46,0.02
1704322800,40.17,35.28,988.01,5.83,1.59,0.15
1704326400,38.66,31.85,988.01,7.54,2.65,0.34
1704330000,40.86,31.78,1121.52,10.62,4.23,0.92
1704333600,41.46,31.57,1188.28,14.05,4.53,2.3
1704337200,37.98,28.67,1094.82,16.11,4.05,7.51
1704340800,25.96,19.9,801.09,11.14,3.22,20.38
1704344400,25.78,20.01,787.73,10.02,3.43,28.25
1704348000,29.08,23.03,854.49,10.54,3.99,32.9
1704351600,36.63,29.06,1028.06,13.54,4.47,28.25
1704355200,48.1,38.32,1321.79,18.68,5.13,20.38
1704358800,56.47,45.53,1562.12,23.65,6.02,13.59
1704362400,66.46,54.12,1922.61,30.85,8.11,5.99
1704366000,82.09,67.18,2429.96,33.59,10.49,0.43
1704369600,100.43,82.97,2910.61,31.87,11.92,0.0
1704373200,120.32,99.83,3204.35,29.82,11.8,0.0
1704376800,135.09,110.88,3284.45,24.68,9.3,0.0
1704380400,137.48,112.34,3124.24,18.16,6.62,0.0
1704384000,121.25,99.6,2643.59,13.19,4.47,0.0
1704387600,101.9,85.37,2216.34,10.97,3.1,0.0
1704391200,86.54,75.6,1895.9,10.2,2.29,0.0
1704394800,72.74,64.71,1562.12,10.02,1.71,0.02
1704398400,61.93,54.65,1268.39,9.51,1.45,0.08
1704402000,54.53,47.66,1094.82,8.74,1.36,0.23
1704405600,51.01,44.14,1028.06,8.31,1.53,0.29
1704409200,51.04,43.35,1041.41,8.31,2.18,0.14
1704412800,61.32,49.92,1255.04,9.68,4.71,0.25
1704416400,77.79,60.8,1695.63,14.57,8.34,1.68
1704420000,83.93,63.91,1869.2,21.93,7.45,7.15
1704423600,77.83,58.51,1602.17,21.42,5.19,39.34
1704427200,22.41,17.0,634.19,4.07,1.79,53.64
1704430800,12.45,9.13,494.0,2.83,1.58,50.07
1704434400,10.73,7.82,480.65,2.83,1.77,55.07
1704438000,11.33,8.54,494.0,3.21,1.97,58.65
1704441600,13.34,10.34,527.38,4.37,2.24,56.51
1704445200,15.14,12.06,560.76,5.74,2.35,49.35
1704448800,26.51,20.86,934.6,17.14,4.05,22.53
1704452400,46.68,36.44,1535.42,27.42,6.14,3.22
1704456000,70.95,55.12,2029.42,29.13,7.87,0.24
1704459600,97.95,75.83,2403.26,36.33,11.09,0.18
1704463200,118.7,91.92,2563.48,44.55,13.83,0.42
1704466800,131.87,105.33,2643.59,51.41,15.74,0.94
1704470400,134.44,111.85,2616.88,52.78,15.26,1.83
1704474000,123.47,106.94,2349.85,45.24,11.09,3.58
1704477600,108.45,96.8,2002.72,31.19,5.9,6.71
1704481200,91.05,82.31,1615.52,17.48,2.53,6.35
1704484800,76.5,69.28,1348.5,10.88,1.56,3.17
1704488400,67.85,61.44,1201.63,7.88,1.34,1.01
1704492000,65.53,59.12,1161.58,6.68,1.52,0.2
1704495600,64.04,57.35,1161.58,6.51,2.15,0.03
1704499200,67.53,58.56,1295.09,7.28,4.23,0.23
1704502800,74.51,62.63,1588.82,9.68,6.97,0.67
1704506400,75.69,62.41,1695.63,11.14,5.84,1.01
1704510000,66.61,54.73,1508.71,13.88,3.93,2.75
1704513600,37.67,31.19,947.95,12.34,2.56,14.31
1704517200,33.84,26.73,934.6,12.51,2.89,10.91
1704520800,34.23,26.3,1028.06,14.91,3.73,8.31
1704524400,28.63,21.28,974.66,15.25,3.93,9.75
1704528000,20.14,14.54,814.44,12.68,3.16,11.18
1704531600,13.21,9.42,667.57,10.02,2.44,13.05
1704535200,11.5,8.14,667.57,11.14,2.68,9.57
1704538800,17.8,12.38,894.55,13.54,3.67,1.94
1704542400,24.9,16.86,1001.36,11.31,3.87,0.33
1704546000,35.74,23.86,1121.52,9.42,4.53,0.06
1704549600,43.96,29.05,1174.93,8.23,5.19,0.03
1704553200,46.9,30.59,1134.87,7.54,5.78,0.02
1704556800,44.2,28.34,1041.41,6.85,5.6,0.02
1704560400,38.77,24.88,921.25,5.57,4.05,0.02
1704564000,36.17,23.91,854.49,4.16,2.5,0.01
1704567600,32.39,22.35,761.03,3.13,1.49,0.02
1704571200,29.75,21.23,694.27,2.68,1.31,0.01
1704574800,30.38,22.33,694.27,2.53,1.55,0.0
1704578400,34.44,25.58,747.68,2.72,2.18,0.0
1704582000,39.39,29.25,821.11,2.87,2.98,0.0
1704585600,48.51,35.34,1014.71,3.3,4.95,0.03
1704589200,59.63,43.56,1375.2,4.41,7.21,0.2
1704592800,57.55,42.17,1468.66,5.74,5.84,0.43
1704596400,40.54,29.24,1134.87,8.05,3.78,1.61
1704600000,7.56,5.35,417.23,4.28,1.34,15.2
1704603600,3.08,2.15,327.11,1.99,0.93,19.13
1704607200,2.12,1.51,317.1,1.59,0.8,19.49
1704610800,3.33,2.32,360.49,2.57,1.07,18.42
1704614400,6.17,4.36,447.27,4.5,1.55,17.52
1704618000,8.88,6.37,534.06,6.68,2.0,15.2
1704621600,16.31,11.7,801.09,12.68,3.64,5.99
1704625200,28.81,20.66,1201.63,14.74,5.78,0.5
1704628800,41.56,29.33,1415.25,13.54,7.27,0.01
1704632400,56.08,40.01,1615.52,14.05,8.7,0.0
1704636000,67.24,48.84,1708.98,12.34,7.99,0.0
1704639600,71.56,52.47,1668.93,9.17,6.2,0.0
1704643200,66.87,50.1,1495.36,6.43,4.47,0.0
1704646800,58.1,44.71,1295.09,4.93,3.04,0.0
1704650400,51.98,41.27,1161.58,4.33,2.29,0.0
1704654000,47.0,37.91,1014.71,4.54,2.24,0.0
1704657600,45.26,37.0,947.95,5.36,2.86,0.0
1704661200,47.88,38.91,974.66,6.34,3.61,0.0
1704664800,52.34,42.21,1054.76,7.37,4.59,0.0
1704668400,54.81,44.1,1094.82,7.8,5.13,0.0
1704672000,60.41,47.14,1228.33,7.71,6.02,0.12
1704675600,66.43,51.06,1508.71,8.14,6.08,0.22
1704679200,69.27,52.97,1708.98,9.94,5.96,0.3
1704682800,68.0,52.4,1708.98,13.37,5.48,0.58
1704686400,17.64,13.86,680.92,9.42,2.77,18.95
1704690000,10.59,8.24,554.08,6.43,2.53,23.25
1704693600,10.32,8.16,554.08,6.34,2.95,24.68
1704697200,19.38,14.96,781.06,11.82,4.05,17.34
1704700800,35.85,27.47,1188.28,18.85,5.25,9.21
1704704400,51.4,39.76,1575.47,24.33,6.56,4.87
1704708000,65.57,51.25,1976.01,32.56,9.66,3.08
1704711600,75.65,59.12,2269.74,39.76,12.4,0.65
1704715200,81.05,63.35,2296.45,39.41,13.47,0.02
1704718800,94.7,75.14,2510.07,41.47,15.97,0.0
1704722400,112.83,90.71,2830.51,45.93,18.6,0.0
1704726000,124.3,101.02,2990.72,46.61,19.55,0.0
1704729600,123.48,101.83,2937.32,43.53,18.36,0.0
1704733200,109.27,92.74,2670.29,38.39,15.14,0.0
1704736800,92.86,80.75,2296.45,31.53,11.09,0.0
1704740400,73.16,64.67,1735.69,16.79,4.53,0.0
1704744000,61.54,54.67,1361.85,9.6,2.35,0.01
1704747600,58.19,51.91,1214.98,7.37,2.15,0.0
1704751200,60.48,53.73,1201.63,6.68,2.59,0.0
1704754800,63.12,55.55,1228.33,6.0,3.04,0.0
1704758400,71.97,61.26,1415.25,5.91,4.71,0.05
1704762000,,,,,,
1704765600,,,,,,
1704769200,,,,,,
1704772800,,,,,,
1704776400,,,,,,
1704780000,,,,,,
1704783600,,,,,,
1704787200,,,,,,
1704790800,,,,,,
1704794400,,,,,,
1704798000,,,,,,
1704801600,,,,,,
1704805200,,,,,,
1704808800,,,,,,
1704812400,,,,,,
1704816000,,,,,,
1704819600,,,,,,
1704823200,,,,,,
1704826800,,,,,,
1704830400,,,,,,
1704834000,,,,,,
1704837600,,,,,,
1704841200,,,,,,
1704844800,,,,,,
1704848400,61.46,44.93,1361.85,6.68,5.6,0.15
1704852000,58.09,42.48,1455.31,8.14,5.48,0.19
1704855600,46.11,33.3,1214.98,10.28,4.35,0.42
1704859200,36.26,25.55,1014.71,11.31,3.64,1.4
1704862800,42.41,29.48,1188.28,10.45,4.23,1.15
1704866400,52.79,37.42,1495.36,12.17,5.9,0.75
1704870000,58.57,42.04,1682.28,15.77,7.99,0.76
1704873600,56.21,40.84,1668.93,16.79,7.51,0.84
1704877200,47.71,35.14,1508.71,17.99,6.32,1.05
1704880800,44.75,33.34,1562.12,22.28,8.82,1.16
1704884400,53.74,39.77,1922.61,23.99,13.59,0.2
1704888000,62.89,45.42,2082.82,21.42,15.74,0.0
1704891600,81.51,58.92,2349.85,20.91,18.36,0.0
1704895200,95.82,69.74,2483.37,20.05,18.84,0.0
1704898800,97.21,70.2,2243.04,16.28,15.97,0.0
1704902400,87.86,62.48,1789.09,9.0,7.75,0.0
1704906000,76.16,54.51,1482.01,5.44,4.11,0.0
1704909600,67.05,51.21,1321.79,4.03,2.77,0.0
1704913200,57.91,46.38,1134.87,3.3,2.24,0.0
1704916800,51.38,41.25,1001.36,3.3,2.47,0.0
1704920400,49.21,39.66,974.66,3.73,3.04,0.0
1704924000,50.85,41.07,1028.06,4.5,3.99,0.0
1704927600,53.81,43.33,1108.17,5.01,4.95,0.0
1704931200,62.24,49.78,1348.5,5.23,7.27,0.03
